first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Fernando,Luiz Rosa,0,0,44,901,6,96.5,143.4,58.0,5,198,29.9,5,0,4,0.7,54,DEF
Claudio,Bravo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,GK
Sergio,Agüero,1,0,17,370,3,59.3,53.6,154.0,0,57,26.1,3,0,0,1.3,103,FWD
Nicolás,Otamendi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49,DEF
Kyle,Walker,1,1,82,1674,16,180.9,290.4,83.0,7,362,55.4,8,0,1,4.9,61,DEF
Ilkay,Gündogan,12,3,142,1739,9,544.0,656.6,609.0,21,547,181.2,12,0,0,33.1,60,MID
Kevin,De Bruyne,5,11,128,1905,17,1077.8,687.2,888.0,17,511,265.5,11,0,1,19.8,119,MID
John,Stones,4,0,122,1620,6,56.7,454.8,164.0,11,478,67.5,13,0,0,22.1,53,DEF
Benjamin,Mendy,2,0,46,693,8,50.9,125.0,58.0,5,162,23.2,4,0,2,1.3,59,DEF
Riyad,Mahrez,9,6,132,1702,18,625.4,560.0,792.0,15,456,197.6,10,0,0,7.6,82,MID
Raheem,Sterling,9,8,136,2084,16,483.5,591.6,1159.0,10,415,223.3,12,0,2,5.8,113,MID
João Pedro Cavaco,Cancelo,1,3,122,1946,11,582.6,461.0,336.0,16,513,138.1,13,0,4,19.4,60,DEF
Ederson,Santana de Moraes,0,1,134,2700,20,10.0,454.2,0.0,3,571,46.5,17,0,3,9.7,61,GK
Nathan,Aké,1,0,21,469,7,35.5,108.0,23.0,1,97,16.6,2,0,3,2.4,54,DEF
Aymeric,Laporte,0,0,50,1118,8,53.1,189.8,47.0,4,236,28.9,6,0,1,2.2,60,DEF
Bernardo Mota,Veiga de Carvalho e Silva,2,4,74,1717,9,359.8,319.2,414.0,4,329,109.6,11,0,3,1.1,74,MID
Gabriel Fernando,de Jesus,8,4,97,1565,9,331.1,412.4,690.0,16,365,143.4,9,0,1,3.1,92,FWD
Oleksandr,Zinchenko,0,0,56,1080,7,185.9,203.6,87.0,4,274,47.7,7,0,0,0.6,55,DEF
Phil,Foden,6,8,108,1336,10,454.1,446.8,618.0,12,378,151.8,6,0,0,7.3,61,MID
Tommy,Doyle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Rodrigo,Hernandez,1,1,72,2263,18,432.8,489.2,260.0,4,423,118.4,12,0,4,0.4,53,MID
